Algorithm,Resolution,Map,Min Agents,Max Agents
CBS,1,empty-8-8,14,24
CBS,1,empty-16-16,14,38
CBS,1,empty-32-32,10,60
CBS,1,empty-48-48,22,60
CBS,1,random-32-32-10,8,48
CBS,1,random-32-32-20,14,40
CBS,1,random-64-64-10,4,60
CBS,1,random-64-64-20,16,54
CBS,1,room-32-32-4,10,24
CBS,1,room-64-64-8,6,20
CBS,1,room-64-64-16,6,30
CBS,1,maze-32-32-2,6,18
CBS,1,maze-32-32-4,2,16
CBS,1,maze-128-128-10,2,20
CBS,1,maze-128-128-2,2,12
CBS,1,Berlin_1_256,8,60
CBS,1,Boston_0_256,8,52
CBS,1,Paris_1_256,2,46
CBS,1,ht_chantry,6,26
CBS,1,ht_mansion_n,6,40
CBS,1,lak303d,2,22
CBS,1,lt_gallowstemplar_n,4,32
CBS,1,den312d,6,28
CBS,1,ost003d,4,22
CBS,1,brc202d,2,12
CBS,1,den520d,8,42
CBS,1,w_woundedcoast,2,14
CBS,2,empty-8-8,16,30
CBS,2,empty-16-16,14,40
CBS,2,empty-32-32,10,60
CBS,2,empty-48-48,16,54
CBS,2,random-32-32-10,6,46
CBS,2,random-32-32-20,8,40
CBS,2,random-64-64-10,4,60
CBS,2,random-64-64-20,8,46
CBS,2,room-32-32-4,4,22
CBS,2,room-64-64-8,4,18
CBS,2,room-64-64-16,6,20
CBS,2,maze-32-32-2,6,16
CBS,2,maze-32-32-4,2,16
CBS,2,maze-128-128-10,2,10
CBS,2,maze-128-128-2,2,4
CBS,2,Berlin_1_256,8,28
CBS,2,Boston_0_256,2,26
CBS,2,Paris_1_256,2,34
CBS,2,ht_chantry,4,22
CBS,2,ht_mansion_n,4,34
CBS,2,lak303d,2,16
CBS,2,lt_gallowstemplar_n,4,28
CBS,2,den312d,6,28
CBS,2,ost003d,2,18
CBS,2,brc202d,2,10
CBS,2,den520d,2,26
CBS,2,w_woundedcoast,2,10
CBS,4,empty-8-8,8,30
CBS,4,empty-16-16,2,38
CBS,4,empty-32-32,10,42
CBS,4,empty-48-48,8,48
CBS,4,random-32-32-10,6,44
CBS,4,random-32-32-20,8,36
CBS,4,random-64-64-10,4,44
CBS,4,random-64-64-20,8,36
CBS,4,room-32-32-4,4,20
CBS,4,room-64-64-8,2,16
CBS,4,room-64-64-16,2,18
CBS,4,maze-32-32-2,2,12
CBS,4,maze-32-32-4,2,16
CBS,4,maze-128-128-10,2,4
CBS,4,maze-128-128-2,2,4
CBS,4,Berlin_1_256,2,14
CBS,4,Boston_0_256,2,10
